timestamp,gas_price
2022-06-01,60074965862.84615
2022-06-02,59827828971.13636
2022-06-03,67581358921.5
2022-06-04,50598504488.90476
2022-06-05,51079460730.59091
2022-06-06,46860278545.666664
2022-06-07,58287397451.809525
2022-06-08,64500621341.59091
2022-06-09,58898214338.190475
2022-06-10,44138691988.85714
2022-06-11,38768418537.85714
2022-06-12,47930496193.666664
2022-06-13,82626162540.14285
2022-06-14,42972782409.85714
2022-06-15,64716965462.90476
2022-06-16,42231250492.42857
2022-06-17,32444963275.761906
2022-06-18,53270357140.09091
2022-06-19,29213553962.45
2022-06-20,26815749690.52381
2022-06-21,35697916835.1
2022-06-22,32680887175.05263
2022-06-23,48290618284.05
2022-06-24,35724555298.26316
2022-06-25,39998284623.10526
2022-06-26,32664517771.85
2022-06-27,55480033497.052635
2022-06-28,48828657543.789474
2022-06-29,51397415604.4
2022-06-30,41373943258.181816
2022-07-01,30295309505.217392
2022-07-02,12735963351.26087
2022-07-03,20858197234.125
2022-07-04,21451829411.304348
2022-07-05,31575484201.5
2022-07-06,27089339264.782608
2022-07-07,33847526446.458332
2022-07-08,24785881229.913044
2022-07-09,16252872533.583334
2022-07-10,20986653574.130436
2022-07-11,22255136687.75
2022-07-12,24416896436.826088
2022-07-13,24465146820.086956
2022-07-14,35325202499.541664
2022-07-15,21285930059.47826
2022-07-16,25111053648.333332
2022-07-17,19271642333.173912
2022-07-18,30993883525.173912
2022-07-19,27943710599.75
2022-07-20,26383412503.95652
2022-07-21,16476191362.73913
2022-07-22,14330917821.333334
2022-07-23,10873348005.434782
2022-07-24,9108034008.869566
2022-07-25,24962703584.833332
2022-07-26,16454649094.347826
2022-07-27,16949038681.695652
2022-07-28,20312325885.913044
2022-07-29,13619470591.458334
2022-07-30,7141764024.913043
2022-07-31,8756254060.652174
2022-08-01,14866946412.208334
2022-08-02,12851364706.0
2022-08-03,13122094224.347826
2022-08-04,11983785985.869566
2022-08-05,13585461783.291666
2022-08-06,7263410111.695652
2022-08-07,8381882294.869565
2022-08-08,15752765371.608696
2022-08-09,15353603094.708334
2022-08-10,28664533873.260868
2022-08-11,21028614703.909092
2022-08-12,15725009626.583334
2022-08-13,7671297930.909091
2022-08-14,11320869488.956522
2022-08-15,13950921733.956522
2022-08-16,11538525425.043478
2022-08-17,10533104753.826086
2022-08-18,12246425304.73913
2022-08-19,13558492905.391304
2022-08-20,9081711942.782608
2022-08-21,7013325725.782609
2022-08-22,12139095928.73913
2022-08-23,11617418782.318182
2022-08-24,12758243842.347826
2022-08-25,18172726456.913044
2022-08-26,12866377959.363636
2022-08-27,6731143439.434783
2022-08-28,10086299405.272728
2022-08-29,13947872289.565218
2022-08-30,19756707512.739132
2022-08-31,17688423515.545456
2022-09-01,16521014037.695652
2022-09-02,14649499675.73913
2022-09-03,5425652821.5
2022-09-04,9421220933.347826
2022-09-05,10782535051.454546
2022-09-06,16932289231.608696
2022-09-07,17403604033.217392
2022-09-08,20364144522.636364
2022-09-09,17962489357.68182
2022-09-10,10689713617.227272
2022-09-11,9358227812.0
2022-09-12,16209078669.863636
2022-09-13,16274056051.5
2022-09-14,12684719955.190475
2022-09-15,13895168188.461538
2022-09-16,6986432510.730769
2022-09-17,5010104764.04
2022-09-18,6527601748.692307
2022-09-19,8860794724.115385
2022-09-20,10725813228.192308
2022-09-21,10900237908.2
2022-09-22,8544819711.115385
2022-09-23,7620340820.538462
2022-09-24,4631785213.230769
2022-09-25,6887967025.961538
2022-09-26,12617846269.5
2022-09-27,17188304416.307693
2022-09-28,13683535700.692308
2022-09-29,12871145664.615385
2022-09-30,14754785948.884615
2022-10-01,6320280316.923077
2022-10-02,5855369718.423077
2022-10-03,14986732594.807692
2022-10-04,12254807424.73077
2022-10-05,12850661126.44
2022-10-06,9752151065.23077
2022-10-07,8228951604.653846
2022-10-08,21299311578.192307
2022-10-09,30041007806.692307
2022-10-10,31831686533.153847
2022-10-11,22647330638.576923
2022-10-12,16191014812.615385
2022-10-13,19624563105.115383
2022-10-14,16247001364.807692
2022-10-15,15084379300.76923
2022-10-16,12376313538.26923
2022-10-17,21750160944.692307
2022-10-18,21373939526.23077
2022-10-19,24807551745.192307
2022-10-20,29978508338.846153
2022-10-21,28400468382.884617
2022-10-22,16507064587.846153
2022-10-23,12751866093.76
2022-10-24,18546812915.807693
2022-10-25,18549595934.96154
2022-10-26,16197026632.846153
2022-10-27,14638801107.846153
2022-10-28,14164011075.961538
2022-10-29,12546037355.615385
2022-10-30,8556664429.076923
2022-10-31,19116752491.807693
2022-11-01,13729465576.461538
2022-11-02,16332561834.5
2022-11-03,18313402104.846153
2022-11-04,16736979205.115385
2022-11-05,11298124849.76
2022-11-06,11381428537.107143
2022-11-07,18385224747.36
2022-11-08,40533807610.69231
2022-11-09,48464909270.07692
2022-11-10,30187604227.153847
2022-11-11,19803522385.192307
2022-11-12,12122070046.73077
2022-11-13,13984671672.923077
2022-11-14,18228516806.692307
2022-11-15,15616369133.884615
2022-11-16,15498633526.192308
2022-11-17,14323490384.384615
2022-11-18,12916431105.192308
2022-11-19,11648303286.076923
2022-11-20,11224929085.5
2022-11-21,11371390853.384615
2022-11-22,14548313360.576923
2022-11-23,12230705362.28
2022-11-24,10885764395.153847
2022-11-25,9837287985.692308
2022-11-26,9704885132.5
2022-11-27,9410804731.846153
2022-11-28,13569327449.115385
2022-11-29,11179486293.846153
2022-11-30,12220018012.384615
2022-12-01,11665328553.384615
2022-12-02,11661098749.461538
2022-12-03,10710575529.5
2022-12-04,11344564773.807692
