timestamp,gas_price
1683873755,0xd8debb24f
1683873767,0xcf8876b36
1683873779,0xe619b3ed9
1683873791,0xdf2e2e5b6
1683873803,0xe05585218
1683873815,0xd9779d29e
1683873827,0xd4a21abdf
1683873839,0xea9126cb0
1683873851,0xde63e081b
1683873863,0xd5cc4628d
1683873875,0xd54b71fae
1683873887,0xcb5118f15
1683873899,0xcee8addff
1683873911,0xcdf5de208
1683873923,0xcaeb220b1
1683873935,0xcc5ef85a3
1683873947,0xd007ce2d2
1683873959,0xc3795fc97
1683873971,0xcda802b58
1683873983,0xc96974fd6
1683873995,0xe0a7154f4
1683874007,0xd812a2a22
1683874019,0xd2a6b491d
1683874031,0xd3f7e7e89
1683874043,0xc8dbc576a
1683874055,0xc79a77456
1683874067,0xd070b12bd
1683874079,0xea6ae93b8
1683874103,0xeadf21753
1683874115,0xed2870b46
1683874139,0xeba9173d0
1683874151,0xf081bed62
1683874163,0xf220eeef2
1683874175,0xe90831882
1683874187,0xedd047e97
1683874199,0xe4d183610
1683874211,0xdf9660674
1683874223,0xde6441f40
1683874235,0xdf043c227
1683874247,0xd5875a32f
1683874259,0xe27645459
1683874271,0xda915e22c
1683874283,0xdfc50b977
1683874295,0xde8462b3d
1683874307,0xd2d39141a
1683874319,0xe823d9f20
1683874331,0xdb6012606
1683874343,0xd300c04e2
1683874355,0xc98fccb09
1683874367,0xd2fca3fe2
1683874379,0xd4001845e
1683874391,0xcc76e9a6e
1683874403,0xca6218a7d
1683874415,0xc2cb75f56
1683874427,0xc5878e691
1683874439,0xc2421a6b4
1683874451,0xbfe027bae
1683874463,0xc3a1835fa
1683874475,0xbeaef9839
1683874487,0xc94a07006
1683874499,0xc53a8ea47
1683874511,0xb9b084984
1683874523,0xd0dfc25c4
1683874535,0xda2c8d0ce
1683874547,0xe167d0647
1683874559,0xe3b558b3a
1683874571,0xe3d550872
1683874583,0xdb730c87a
1683874595,0xd365e62b2
1683874607,0xcfa9f10bc
1683874619,0xd4cdb477f
1683874631,0xc998d52eb
1683874643,0xce5f56c25
1683874655,0xcbb10611d
1683874667,0xde8dffcdd
1683874679,0xd0962dd67
1683874691,0xcd5ed6446
1683874703,0xc70735bcd
1683874715,0xc1869f267
1683874727,0xd55ba64eb
1683874739,0xd11fe7d9d
1683874751,0xcbb133486
1683874763,0xc7421f31d
1683874775,0xc4906e1e5
1683874787,0xc1f0632bd
1683874799,0xd1a9651d5
1683874811,0xca488ab90
1683874823,0xdcff3adf7
1683874835,0xe7116e1e3
1683874847,0xe14f97447
1683874859,0xdae962213
1683874883,0xd9b2951d4
1683874895,0xed3abf3f1
1683874907,0xe4dbe45a2
1683874919,0xd7e5826a9
1683874931,0xf2e02f575
1683874943,0xf65c4bcbf
1683874955,0xe67997876
1683874967,0xe5def8099
1683874979,0xe60e17d2a
1683874991,0xdf21520bb
1683875003,0xe2662b739
1683875015,0xe0ea8c2e8
1683875027,0xda3cf51ea
1683875039,0xd45958a3f
1683875051,0xe0cd3e476
1683875063,0xed3d4c6e0
1683875075,0xebc1d3a80
1683875087,0xeb088a3f8
1683875099,0xe2a10b7f3
1683875111,0xdc9a8032b
1683875123,0xe06ea7fd3
1683875135,0xdf3f3eeea
1683875147,0xe154a0df1
1683875159,0xdf70e353a
1683875171,0xdd5b215b8
1683875183,0xd6d6e7fb8
1683875195,0xd1b26feee
1683875207,0xd93f4e3bd
1683875219,0xd95213a22
1683875231,0xd6b8be7f9
1683875243,0xd619b41a4
1683875255,0xd3a40a9b3
1683875267,0xcf9646e41
1683875279,0xd4bd03eec
1683875291,0xceb7a38a5
1683875303,0xd22e068c7
1683875315,0xc8292865f
1683875327,0xd5ac448ad
1683875339,0xc72853a6b
1683875351,0xca55f6570
1683875363,0xcee103535
1683875375,0xcc70219c8
1683875387,0xce0568332
1683875399,0xc95646eed
1683875411,0xc822eea4c
1683875423,0xc9aa5ed90
1683875435,0xc1c378d87
1683875447,0xcc1e7b9fc
1683875459,0xd0c5d2507
1683875471,0xd19d3f726
1683875483,0xd2abdc516
1683875495,0xd2409d4a6
1683875507,0xcc6352cee
1683875519,0xdabca2f8e
1683875531,0xd58ef02bf
1683875543,0xd96616dc1
1683875555,0xd0c24a406
1683875567,0xd7e8f4508
1683875579,0xd55fbde19
1683875591,0xd45f57e54
1683875603,0xdb2956ceb
1683875615,0xd825c2242
1683875627,0xd1756bae4
1683875639,0xd4266d453
1683875651,0xd2b942484
1683875663,0xca84b2557
1683875675,0xc845063b1
1683875687,0xc86f56bba
1683875699,0xc1fb8127c
1683875711,0xc8ba8e28e
1683875723,0xc758eb99f
1683875735,0xbfd4f2d7a
1683875747,0xc637b118d
1683875759,0xd70db5c2b
1683875771,0xcd972137e
1683875783,0xc7fa5486b
1683875795,0xc0af27303
1683875807,0xd192cb414
1683875819,0xcd72a6b90
1683875831,0xc46be3255
1683875843,0xc1ae46ec9
1683875855,0xb9ae5035f
1683875867,0xd0dddcc7a
1683875879,0xd896c948c
1683875891,0xcc649b969
1683875903,0xcae3b51fc
1683875915,0xc645d4c6c
1683875927,0xc8b50b8c9
1683875939,0xe1cadf3fd
1683875951,0xd60e6007a
1683875963,0xd2f9e0359
1683875975,0xc9fa38548
1683875987,0xcd8219944
1683876011,0xc8813234b
1683876023,0xe166a0fa8
1683876035,0xda6538c4b
1683876047,0xd1d5414b3
1683876059,0xd0218814e
1683876071,0xd5223f4fb
1683876083,0xd5951d130
1683876095,0xd0a02e483
1683876107,0xc71139cd9
1683876119,0xc2c0ae972
1683876131,0xbee8672f8
1683876143,0xc7a785838
1683876155,0xc6cf5815a
1683876167,0xbf50edb15
1683876179,0xd4c02923f
1683876191,0xd13edbb3c
1683876203,0xcb9974c23
1683876215,0xc8f068757
1683876227,0xbfe35da12
1683876239,0xbbef9fc9e
1683876251,0xbf198d8a9
1683876263,0xc4f4813a0
1683876275,0xc048ca42f
1683876287,0xbc868df73
1683876299,0xd115c0e14
1683876311,0xc900fa4b8
1683876323,0xd6b921470
1683876335,0xcc5a467f8
1683876347,0xc2dd33963
1683876359,0xc6573837e
1683876371,0xc13a3306c
1683876383,0xd8106ea26
1683876395,0xd03d0ae85
1683876407,0xc9c18c165
1683876419,0xc4ec45847
1683876431,0xc559826d7
1683876443,0xd55e6672e
1683876455,0xcded4b8e3
1683876467,0xc96917a71
1683876479,0xc66486f64
1683876491,0xc0097ff2b
1683876503,0xd802f337d
1683876515,0xcdfd532a9
1683876527,0xe7b7afb6c
1683876539,0xdebb884ce
1683876551,0xdba117d2a
1683876563,0xd5294cb7a
1683876575,0xdfbc72795
1683876587,0xd2fb475a0
1683876599,0xdbe490b42
1683876611,0xcfdbd0f47
1683876623,0xe03f8bf19
1683876635,0xdc3d7b811
1683876647,0xd12e86464
1683876659,0xcea64299a
1683876671,0xce73a490c
1683876683,0xe83b15ed8
1683876695,0xe1c066bf5
1683876707,0xd961707a8
1683876719,0xd5fc90ed7
1683876731,0xda1288918
1683876743,0xd6553ec53
1683876755,0xd3ab8bab1
1683876767,0xc87b25572
1683876779,0xe162221bb
1683876791,0xd673e3c02
1683876803,0xd7ae81058
1683876815,0xcae9b6608
1683876827,0xd0f833927
1683876839,0xcc7b433ca
1683876851,0xd8a275efd
1683876863,0xda30ab488
1683876875,0xc8849e060
1683876887,0xc17753291
1683876899,0xd8b862423
1683876911,0xcb2bda91f
1683876923,0xca1ec05b5
1683876935,0xca6b4c5f1
1683876947,0xc1bce1662
1683876959,0xcd29e3175
1683876971,0xc4d4beff5
1683876983,0xd1101e77d
1683876995,0xc87492225
1683877007,0xbcc116d41
1683877019,0xbf7d75016
1683877031,0xc24127077
1683877043,0xbd93a9e7b
1683877055,0xbf31265b0
1683877067,0xcfcf44bce
1683877079,0xd80fdfbc6
1683877091,0xccbc608c1
1683877103,0xc6a6ad840
1683877115,0xc24dcfea4
1683877127,0xc8ddb6bad
1683877139,0xc3b65c596
1683877151,0xc6e1d95b7
1683877175,0xc76a972ad
1683877187,0xd541e66cc
1683877199,0xce4e6d876
1683877211,0xca9d72fff
1683877223,0xc3af34099
1683877235,0xd75bcb1ab
1683877247,0xcefa7aeff
1683877259,0xd472c192a
1683877271,0xd6cef9385
1683877283,0xd000ac837
1683877295,0xcbbe9fed6
1683877307,0xc5509b1af
1683877319,0xc7523c74c
1683877331,0xcfb22c038
1683877343,0xc91365fd6
1683877355,0xbf497e0b1
1683877367,0xc23b3877f
1683877379,0xc80f4192a
1683877391,0xc744dc575
1683877403,0xbf5ab36c7
1683877415,0xc64defac3
1683877427,0xcebd33c8e
1683877439,0xca8fabd89
1683877451,0xc3910e75d
1683877463,0xbddd9fcc3
1683877487,0xb82b37d72
1683877499,0xcf2931713
1683877511,0xdd72bf5c9
1683877523,0xd7d911b7c
1683877535,0xd20209fca
1683877547,0xc98627653
1683877559,0xdea890713
1683877571,0xdeba3d967
1683877583,0xfa8e1578c
1683877595,0xfbac71d18
1683877607,0xec18e924d
1683877619,0xe1edb6f35
1683877631,0xd88404a18
1683877643,0xddf23f5a5
1683877655,0xde5205ed3
1683877667,0xd76bf4762
1683877679,0xcfd5d9e99
1683877691,0xd50dca6d5
1683877703,0xd05e74943
1683877715,0xc84054fe8
1683877727,0xcb865cac6
1683877739,0xd5bba3ab7
1683877751,0xcdf1fd06b
1683877763,0xc54b07e86
1683877775,0xc8afce94c
1683877787,0xbd1518ad4
1683877799,0xbd08c6ada
1683877811,0xcdfe096a7
1683877823,0xc97923972
1683877835,0xc33c9f1e2
1683877847,0xbd7af681e
1683877859,0xb9ede7f33
1683877871,0xb2b48ff96
1683877883,0xc905556c8
1683877895,0xc97081261
1683877907,0xca6967071
1683877919,0xc110a6a70
1683877931,0xd84c47b09
1683877943,0xd113f60f9
1683877955,0xc851e36d1
1683877967,0xbff2cf81e
1683877979,0xbe28bdb4e
1683877991,0xd3e52d2ff
1683878003,0xcc73dc21f
1683878015,0xc4d54ac19
1683878027,0xbf965d855
1683878039,0xb7627e6b3
1683878051,0xce480c2fb
1683878063,0xcdc8a6f34
1683878075,0xc8fa4e59a
1683878087,0xc5d88de17
1683878099,0xc5c21d10b
1683878111,0xbd27f73cd
1683878123,0xcd24c191c
1683878135,0xc5514e9da
1683878147,0xbfd218791
1683878159,0xc334c88cf
1683878171,0xbabe590f2
1683878183,0xb76c9a9f9
1683878195,0xce4b0501b
1683878207,0xca3112d49
1683878219,0xbd1c97bfd
1683878231,0xc63941d35
1683878243,0xbce10e6d8
1683878255,0xbad3444f6
1683878267,0xb89ff4c27
1683878279,0xc5e765634
1683878291,0xbc0786746
1683878303,0xbae0921e1
1683878315,0xb39c10d36
1683878327,0xb6614e06c
1683878339,0xc7055da16
1683878351,0xbec714088
1683878363,0xbf4abf97c
1683878375,0xb7b114869
1683878387,0xb462c4118
1683878399,0xb759f0c93
1683878411,0xc515936d8
1683878423,0xd55ffdd4f
1683878435,0xded217fac
1683878447,0xdd6e1ea04
1683878459,0xd6e6cb0d1
1683878471,0xd478972ce
1683878483,0xd030d15b3
1683878495,0xca9182243
1683878507,0xc92ffd06c
1683878519,0xc9e564a5e
1683878531,0xcbe1f7e7b
1683878543,0xcf7e8fa06
1683878555,0xca8d78696
1683878567,0xc3d34b913
1683878579,0xc46bab1d9
1683878591,0xbd59d68d5
1683878603,0xc1bc66bb4
1683878615,0xbfbdf38fd
1683878627,0xb981d6981
1683878639,0xc1548c199
1683878651,0xc23439bc8
1683878663,0xbfd1ebec8
1683878675,0xbb2bc2152
1683878687,0xb581d9eba
1683878699,0xcae12c9c4
1683878711,0xc4cb62e06
1683878723,0xc11f4e595
1683878735,0xc0dbc7341
1683878747,0xc25969141
1683878759,0xbbb28a19d
1683878771,0xb6bf30a7e
1683878783,0xb488d2fde
1683878795,0xbc9967ee5
1683878807,0xc9b3672af
1683878819,0xc206c3656
1683878831,0xda240444c
1683878843,0xd6092d320
1683878855,0xe59294920
1683878867,0xda5133697
1683878879,0xd1680d0bb
1683878891,0xcb0174e0a
1683878903,0xcb64fd609
1683878915,0xc2ec07e3d
1683878927,0xc656ffc97
1683878939,0xbd5f444e3
1683878951,0xba542effb
1683878963,0xb813e2122
1683878975,0xc0362aa1c
1683878987,0xb959cccbb
1683878999,0xbca3f4a4d
1683879011,0xbaad0e90d
1683879023,0xbd6d5938b
1683879047,0xbd4dd3b8b
1683879059,0xc2775e732
1683879071,0xc59f27806
1683879083,0xc3b7aa448
1683879095,0xbbf2d0772
1683879107,0xbdad82f21
1683879119,0xbcd7b8a5e
1683879131,0xc28a865fa
1683879143,0xbe6b54a0f
1683879155,0xb752de242
1683879167,0xce39ece72
1683879179,0xcc3b9bd7c
1683879191,0xc94a5fc26
1683879203,0xc18a7b6da
1683879215,0xbd96325cb
1683879227,0xb71071e04
1683879239,0xb17fac6d1
1683879251,0xc79845642
1683879263,0xc06326e49
1683879275,0xbc51741ad
1683879287,0xbda3fec43
